paper_table,experiment,model,dataset,task,metric,paper_value,reproduced_value,absolute_delta,relative_delta,seed,checkpoint,status,notes
Table 2,oea_qwen3b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen3B (+Cl),Clotho,T2A,R@5,49.78,49.473684210526315,0.306316,-0.615339,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.306316 percentage points. This predeclared protocol is reported separately and is not promoted to the missing strict paper protocol based on closeness."
Table 2,oea_qwen3b_cl_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen3B (+Cl),Clotho,T2A,R@10,63.25,63.311004784689,0.061005,0.09645,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.061005 percentage points. This predeclared protocol is reported separately and is not promoted to the missing strict paper protocol based on closeness."
Table 2,oea_qwen3b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen3B (+Cl),Clotho,T2A,R@1,22.87,21.913875598086126,0.956124,-4.180693,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.956124 percentage points. The result remains separate from the missing strict paper protocol.
Table 2,oea_qwen3b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen3B (+Cl),Clotho,T2A,R@5,49.78,49.760765550239235,0.019234,-0.038639,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.019234 percentage points. The result remains separate from the missing strict paper protocol.
Table 2,oea_qwen3b_cl_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen3B (+Cl),Clotho,T2A,R@10,63.25,64.21052631578948,0.960526,1.518619,42,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.960526 percentage points. The result remains separate from the missing strict paper protocol.
Table 2,oea_qwen3b_cl_clotho_t2a_strict_paper_protocol,OEA-Qwen3B (+Cl),Clotho,T2A,R@1,22.87,,,,,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_qwen3b_cl_clotho_t2a_strict_paper_protocol,OEA-Qwen3B (+Cl),Clotho,T2A,R@5,49.78,,,,,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_qwen3b_cl_clotho_t2a_strict_paper_protocol,OEA-Qwen3B (+Cl),Clotho,T2A,R@10,63.25,,,,,JudeJiwoo/OEA-Qwen3B-Cl@54ccd008d4a1340d2a1f8edcd5dd0e82c61367a4/step_40_inference_only.pt#sha256:f084bf3c3ad645809e4c7e22cf148caef788cb96c019729576b881291268432a,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_qwen3b_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen3B,Clotho,T2A,R@1,19.18,19.004784688995215,0.175215,-0.913531,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.175215 percentage points. This predeclared protocol remains separate from the missing strict paper protocol."
Table 2,oea_qwen3b_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen3B,Clotho,T2A,R@5,42.05,41.952153110047846,0.097847,-0.232692,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.097847 percentage points. This predeclared protocol remains separate from the missing strict paper protocol."
Table 2,oea_qwen3b_clotho_t2a_public_code_default_joint_all_captions,OEA-Qwen3B,Clotho,T2A,R@10,55.85,55.961722488038276,0.111722,0.20004,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,"[unit=percent] [CODE] Public eval_core default joint task path evaluates all 5,225 captions. Absolute delta is 0.111722 percentage points. This predeclared protocol remains separate from the missing strict paper protocol."
Table 2,oea_qwen3b_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen3B,Clotho,T2A,R@1,19.18,19.330143540669855,0.150144,0.782813,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.150144 percentage points.
Table 2,oea_qwen3b_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen3B,Clotho,T2A,R@5,42.05,41.72248803827751,0.327512,-0.778863,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.327512 percentage points.
Table 2,oea_qwen3b_clotho_t2a_public_code_t2a_only_seed0,OEA-Qwen3B,Clotho,T2A,R@10,55.85,55.69377990430622,0.15622,-0.279714,42,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,close,[unit=percent] [CODE] T2A-only eval_core path samples one caption per clip with query-selection seed 0; embedding seed is 42. Absolute delta is 0.156220 percentage points.
Table 2,oea_qwen3b_clotho_t2a_strict_paper_protocol,OEA-Qwen3B,Clotho,T2A,R@1,19.18,,,,,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_qwen3b_clotho_t2a_strict_paper_protocol,OEA-Qwen3B,Clotho,T2A,R@5,42.05,,,,,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,oea_qwen3b_clotho_t2a_strict_paper_protocol,OEA-Qwen3B,Clotho,T2A,R@10,55.85,,,,,JudeJiwoo/OEA-Qwen3B-AC@f6c4b3b86385fd7ecbe3bacf45548a2259af8db4/step_350_inference_only.pt#sha256:b1d0f559711b70f5a80dbdeb8cd46d80ed7b38b8e5524b9a871878d8bcd5f101,blocked,[unit=percent] [MISSING] The paper and public evaluation command do not identify whether one or all five Clotho captions are used as T2A queries. No post-result protocol selection is permitted.
Table 2,official_source_laion_clap_clotho_t2a_public_code_default_joint_all_captions,LAION-CLAP,Clotho,T2A,R@1,13.34,14.047847,0.707847,5.306199,0,laion-clap==1.1.6:630k-audioset-best.pt#sha256=8053c9775516af2f4902e1e8281e356cc1bf7a85e8b761908170767b77c3f037,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_laion_clap_clotho_t2a_public_code_default_joint_all_captions,LAION-CLAP,Clotho,T2A,R@5,33.49,37.205742,3.715742,11.095079,0,laion-clap==1.1.6:630k-audioset-best.pt#sha256=8053c9775516af2f4902e1e8281e356cc1bf7a85e8b761908170767b77c3f037,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_laion_clap_clotho_t2a_public_code_default_joint_all_captions,LAION-CLAP,Clotho,T2A,R@10,46.22,49.818182,3.598182,7.784903,0,laion-clap==1.1.6:630k-audioset-best.pt#sha256=8053c9775516af2f4902e1e8281e356cc1bf7a85e8b761908170767b77c3f037,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_laion_clap_clotho_t2a_public_code_t2a_only_seed0,LAION-CLAP,Clotho,T2A,R@1,13.34,13.684211,0.344211,2.580292,0,laion-clap==1.1.6:630k-audioset-best.pt#sha256=8053c9775516af2f4902e1e8281e356cc1bf7a85e8b761908170767b77c3f037,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_laion_clap_clotho_t2a_public_code_t2a_only_seed0,LAION-CLAP,Clotho,T2A,R@5,33.49,38.564593,5.074593,15.152562,0,laion-clap==1.1.6:630k-audioset-best.pt#sha256=8053c9775516af2f4902e1e8281e356cc1bf7a85e8b761908170767b77c3f037,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_laion_clap_clotho_t2a_public_code_t2a_only_seed0,LAION-CLAP,Clotho,T2A,R@10,46.22,49.952153,3.732153,8.074758,0,laion-clap==1.1.6:630k-audioset-best.pt#sha256=8053c9775516af2f4902e1e8281e356cc1bf7a85e8b761908170767b77c3f037,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_m2d_clap_clotho_t2a_public_code_default_joint_all_captions,M2D-CLAP,Clotho,T2A,R@1,17.55,16.421053,1.128947,-6.432746,0,M2D-CLAP@3d0c4de9447c404a8d3f9f37e04f53bc902e09b3:checkpoint-30.pth#sha256=238521603c04862ab151cdd80980b591cb36ebe844d43203992fac9ef085c8a1,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_m2d_clap_clotho_t2a_public_code_default_joint_all_captions,M2D-CLAP,Clotho,T2A,R@5,42.91,40.708134,2.201866,-5.131359,0,M2D-CLAP@3d0c4de9447c404a8d3f9f37e04f53bc902e09b3:checkpoint-30.pth#sha256=238521603c04862ab151cdd80980b591cb36ebe844d43203992fac9ef085c8a1,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_m2d_clap_clotho_t2a_public_code_default_joint_all_captions,M2D-CLAP,Clotho,T2A,R@10,55.54,53.703349,1.836651,-3.306898,0,M2D-CLAP@3d0c4de9447c404a8d3f9f37e04f53bc902e09b3:checkpoint-30.pth#sha256=238521603c04862ab151cdd80980b591cb36ebe844d43203992fac9ef085c8a1,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_m2d_clap_clotho_t2a_public_code_t2a_only_seed0,M2D-CLAP,Clotho,T2A,R@1,17.55,17.129187,0.420813,-2.397795,0,M2D-CLAP@3d0c4de9447c404a8d3f9f37e04f53bc902e09b3:checkpoint-30.pth#sha256=238521603c04862ab151cdd80980b591cb36ebe844d43203992fac9ef085c8a1,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_m2d_clap_clotho_t2a_public_code_t2a_only_seed0,M2D-CLAP,Clotho,T2A,R@5,42.91,40.478469,2.431531,-5.666584,0,M2D-CLAP@3d0c4de9447c404a8d3f9f37e04f53bc902e09b3:checkpoint-30.pth#sha256=238521603c04862ab151cdd80980b591cb36ebe844d43203992fac9ef085c8a1,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_m2d_clap_clotho_t2a_public_code_t2a_only_seed0,M2D-CLAP,Clotho,T2A,R@10,55.54,53.779904,1.760096,-3.16906,0,M2D-CLAP@3d0c4de9447c404a8d3f9f37e04f53bc902e09b3:checkpoint-30.pth#sha256=238521603c04862ab151cdd80980b591cb36ebe844d43203992fac9ef085c8a1,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_mga_clap_clotho_t2a_public_code_default_joint_all_captions,MGA-CLAP,Clotho,T2A,R@1,18.78,21.110048,2.330048,12.407071,0,MGA-CLAP@48ca5a5cd22cd34427e118bd8cf332090ec54770:model.pt#sha256=8703740b738e973a5b4d8a18a074ad56880e98f8ba21cd618d7d7ee5422d6e26,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_mga_clap_clotho_t2a_public_code_default_joint_all_captions,MGA-CLAP,Clotho,T2A,R@5,43.79,46.947368,3.157368,7.210249,0,MGA-CLAP@48ca5a5cd22cd34427e118bd8cf332090ec54770:model.pt#sha256=8703740b738e973a5b4d8a18a074ad56880e98f8ba21cd618d7d7ee5422d6e26,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_mga_clap_clotho_t2a_public_code_default_joint_all_captions,MGA-CLAP,Clotho,T2A,R@10,56.63,60.076555,3.446555,6.086094,0,MGA-CLAP@48ca5a5cd22cd34427e118bd8cf332090ec54770:model.pt#sha256=8703740b738e973a5b4d8a18a074ad56880e98f8ba21cd618d7d7ee5422d6e26,close,"[unit=percent] [CODE][OBSERVED] Public-code all-caption T2A evaluates 5,225 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_mga_clap_clotho_t2a_public_code_t2a_only_seed0,MGA-CLAP,Clotho,T2A,R@1,18.78,21.435407,2.655407,14.139547,0,MGA-CLAP@48ca5a5cd22cd34427e118bd8cf332090ec54770:model.pt#sha256=8703740b738e973a5b4d8a18a074ad56880e98f8ba21cd618d7d7ee5422d6e26,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_mga_clap_clotho_t2a_public_code_t2a_only_seed0,MGA-CLAP,Clotho,T2A,R@5,43.79,46.507177,2.717177,6.205017,0,MGA-CLAP@48ca5a5cd22cd34427e118bd8cf332090ec54770:model.pt#sha256=8703740b738e973a5b4d8a18a074ad56880e98f8ba21cd618d7d7ee5422d6e26,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_mga_clap_clotho_t2a_public_code_t2a_only_seed0,MGA-CLAP,Clotho,T2A,R@10,56.63,59.712919,3.082919,5.443968,0,MGA-CLAP@48ca5a5cd22cd34427e118bd8cf332090ec54770:model.pt#sha256=8703740b738e973a5b4d8a18a074ad56880e98f8ba21cd618d7d7ee5422d6e26,close,"[unit=percent] [CODE][OBSERVED] Public-code seed-0 one-caption T2A evaluates 1,045 captions. PAPER caption selection is not disclosed; both predeclared T2A protocols remain visible."
Table 2,official_source_oea_nemo3b_ac_clotho_t2a_public_code_default_joint_all_captions,OEA-Nemo3B,Clotho,T2A,R@1,19.04,18.277511961722485,0.762488,-4.004664,42,JudeJiwoo/OEA-Nemo3B-AC@8ed66aa77bc6f2001b807b5d2bd3e60503d89535/step_400_best.pt#sha256:55579dfbd4f6621b5d842c5e731d6a1d37dbfd04b26b1c55bf8cdea980e67d25,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and official metric source; all 5,225 captions query the 1,045-audio bank. The paper does not disclose caption selection, and the public audio path omits PAPER's passage prefix; this is not a strict paper-protocol claim."
Table 2,official_source_oea_nemo3b_ac_clotho_t2a_public_code_default_joint_all_captions,OEA-Nemo3B,Clotho,T2A,R@5,40.57,41.32057416267942,0.750574,1.850072,42,JudeJiwoo/OEA-Nemo3B-AC@8ed66aa77bc6f2001b807b5d2bd3e60503d89535/step_400_best.pt#sha256:55579dfbd4f6621b5d842c5e731d6a1d37dbfd04b26b1c55bf8cdea980e67d25,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and official metric source; all 5,225 captions query the 1,045-audio bank. The paper does not disclose caption selection, and the public audio path omits PAPER's passage prefix; this is not a strict paper-protocol claim."
Table 2,official_source_oea_nemo3b_ac_clotho_t2a_public_code_default_joint_all_captions,OEA-Nemo3B,Clotho,T2A,R@10,54.24,54.20095693779904,0.039043,-0.071982,42,JudeJiwoo/OEA-Nemo3B-AC@8ed66aa77bc6f2001b807b5d2bd3e60503d89535/step_400_best.pt#sha256:55579dfbd4f6621b5d842c5e731d6a1d37dbfd04b26b1c55bf8cdea980e67d25,close,"[unit=percent] [CODE][OBSERVED] Official OEA loader and official metric source; all 5,225 captions query the 1,045-audio bank. The paper does not disclose caption selection, and the public audio path omits PAPER's passage prefix; this is not a strict paper-protocol claim."
Table 2,official_source_oea_nemo3b_ac_clotho_t2a_public_code_t2a_only_seed0,OEA-Nemo3B,Clotho,T2A,R@1,19.04,17.99043062200957,1.049569,-5.512444,42,JudeJiwoo/OEA-Nemo3B-AC@8ed66aa77bc6f2001b807b5d2bd3e60503d89535/step_400_best.pt#sha256:55579dfbd4f6621b5d842c5e731d6a1d37dbfd04b26b1c55bf8cdea980e67d25,close,"[unit=percent] [CODE][OBSERVED] Official public-code T2A-only selection uses one seed-0 caption per clip; embedding-suite seed is 42. Both predeclared caption protocols remain reported, and no protocol is selected post hoc."
Table 2,official_source_oea_nemo3b_ac_clotho_t2a_public_code_t2a_only_seed0,OEA-Nemo3B,Clotho,T2A,R@5,40.57,41.62679425837321,1.056794,2.604866,42,JudeJiwoo/OEA-Nemo3B-AC@8ed66aa77bc6f2001b807b5d2bd3e60503d89535/step_400_best.pt#sha256:55579dfbd4f6621b5d842c5e731d6a1d37dbfd04b26b1c55bf8cdea980e67d25,close,"[unit=percent] [CODE][OBSERVED] Official public-code T2A-only selection uses one seed-0 caption per clip; embedding-suite seed is 42. Both predeclared caption protocols remain reported, and no protocol is selected post hoc."
Table 2,official_source_oea_nemo3b_ac_clotho_t2a_public_code_t2a_only_seed0,OEA-Nemo3B,Clotho,T2A,R@10,54.24,55.78947368421052,1.549474,2.856699,42,JudeJiwoo/OEA-Nemo3B-AC@8ed66aa77bc6f2001b807b5d2bd3e60503d89535/step_400_best.pt#sha256:55579dfbd4f6621b5d842c5e731d6a1d37dbfd04b26b1c55bf8cdea980e67d25,close,"[unit=percent] [CODE][OBSERVED] Official public-code T2A-only selection uses one seed-0 caption per clip; embedding-suite seed is 42. Both predeclared caption protocols remain reported, and no protocol is selected post hoc."
